Property Name	Property Location	Price	Bedroom	Bathroom	Car Porch	Property Type	Built Up Area	Status
28 Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 900,000(RM 523.56 per sq. ft.)	3+1	3	2	Condominium | Corner lot 	 Built-up : 1,719 sq. ft. 	 Partly furnished
Millerz Square, Old Klang Road, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 632,300(RM 958.03 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 660 sq. ft.	Unfurnished
Safa, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,295,000(RM 717.19 per sq. ft.)	4+1	4	None	3-sty Terrace/Link House 	 Built-up : 3,200 sq. ft. 	 Partly furnished
Taman Melawati	Taman Melawati, Kuala Lumpur	RM 700,000(RM 636.36 per sq. ft.)	4	3	None	2-sty Terrace/Link House 	 Built-up : 1,100 sq. ft.	Unfurnished
The Maple Residences, Taman Overseas Union, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 643,000(RM 795.79 per sq. ft.)	3	2	2	Condominium | Corner lot 	 Built-up : 808 sq. ft. 	 Partly furnished
KM1 East, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 1,500,000(RM 742.21 per sq. ft.)	3+1	4	3	Condominium 	 Built-up : 2,021 sq. ft. 	 Partly furnished
KM1 East, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 1,300,000(RM 692.23 per sq. ft.)	3+1	4	3	Condominium 	 Built-up : 1,878 sq. ft. 	 Partly furnished
Taman Len Seng, Cheras	Cheras, Kuala Lumpur	RM 620,000(RM 269.57 per sq. ft.)	4	2	None	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,300 sq. ft. 	 Partly furnished
The Northshore Gardens, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,800,000(RM 995.58 per sq. ft.)	3+1	4	2	Condominium | Corner lot 	 Built-up : 1,808 sq. ft. 	 Partly furnished
The Estate, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 1,750,000(RM 745.95 per sq. ft.)	4+1	6	4	Condominium | Corner lot 	 Built-up : 2,346 sq. ft. 	 Unfurnished
Bukit Tunku, Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 15,000,000(RM 1000 per sq. ft.)	6+1	8	6	Bungalow 	 Built-up : 15,000 sq. ft. 	 Partly furnished
Sri Putramas III / Royal Regent, Jalan Kuching	Jalan Kuching, Kuala Lumpur	RM 730,000(RM 459.12 per sq. ft.)	3+1	2	2	Condominium | Corner lot 	 Built-up : 1,590 sq. ft. 	 Fully furnished
Banyan Tree Signatures, KLCC	KLCC, Kuala Lumpur	RM 1,900,000(RM 1765.8 per sq. ft.)	1+1	2	1	Serviced Residence 	 Built-up : 1,076 sq. ft. 	 Fully furnished
Banyan Tree Signatures, KLCC	KLCC, Kuala Lumpur	RM 1,800,000(RM 1672.86 per sq. ft.)	1+1	2	1	Serviced Residence | Intermediate 	 Built-up : 1,076 sq. ft. 	 Partly furnished
Pavilion Suites, Bukit Bintang	Bukit Bintang, Kuala Lumpur	RM 2,000,000(RM 2785.52 per sq. ft.)	1	1	None	Condominium | Intermediate 	 Built-up : 718 sq. ft. 	 Fully furnished
Banyan Tree Signatures, KLCC	KLCC, Kuala Lumpur	RM 3,000,000(RM 1798.56 per sq. ft.)	3	3	1	Serviced Residence | Intermediate 	 Built-up : 1,668 sq. ft. 	 Partly furnished
The Mansions, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 4,685,000(RM 1070.61 per sq. ft.)	3+2	6	3	2.5-sty Terrace/Link House | Intermediate 	 Built-up : 4,376 sq. ft. 	 Partly furnished
Zenia, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,300,000(RM 909.09 per sq. ft.)	3+1	4	None	2-sty Terrace/Link House 	 Built-up : 2,530 sq. ft. 	 Partly furnished
Adora, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,600,000(RM 1036.27 per sq. ft.)	4	4	2	3-sty Terrace/Link House | Corner lot 	 Built-up : 2,509 sq. ft. 	 Partly furnished
Bukit Tunku, Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 8,000,000(RM 1777.78 per sq. ft.)	4	3	5	Bungalow | Intermediate 	 Built-up : 4,500 sq. ft. 	 Partly furnished
Seni Mont Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 3,000,000(RM 807.75 per sq. ft.)	4+1	5	3	Condominium 	 Built-up : 3,714 sq. ft. 	 Partly furnished
Soho Suites @ KLCC, KLCC	KLCC, Kuala Lumpur	RM 900,000(RM 1000 per sq. ft.)	3	2	1	Serviced Residence | Corner lot 	 Built-up : 900 sq. ft. 	 Fully furnished
Damai Gayana, Bandar Damai Perdana	Bandar Damai Perdana, Kuala Lumpur	RM 2,690,000(RM 592.12 per sq. ft.)	6+1	7	5	Bungalow 	 Built-up : 4,543 sq. ft.	Unfurnished
Sunway Mont Residences, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,350,000(RM 796.46 per sq. ft.)	4+1	4	3	Condominium 	 Built-up : 1,695 sq. ft. 	 Fully furnished
The Maple Residences, Taman Overseas Union, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 643,000(RM 795.79 per sq. ft.)	3	2	2	Condominium | Intermediate 	 Built-up : 808 sq. ft.	Unfurnished
Cormar Suites (Fraser Place (Lot 163)), KLCC	KLCC, Kuala Lumpur	RM 680,000(RM 1035.01 per sq. ft.)	1	1	1	Serviced Residence | Corner lot 	 Built-up : 657 sq. ft. 	 Fully furnished
Sri Petaling	Sri Petaling, Kuala Lumpur	RM 998,000(RM 332.67 per sq. ft.)	5	4	2	2-sty Terrace/Link House | Intermediate 	 Built-up : 3,000 sq. ft. 	 Partly furnished
ATHINAHAPAN, Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 5,000,000(RM 1000 per sq. ft.)	5+1	4	3	Bungalow 	 Built-up : 5,000 sq. ft. 	 Partly furnished
Sunway SPK Damamsara, Sunway SPK	Sunway SPK, Kuala Lumpur	RM 2,800,000(RM 851.06 per sq. ft.)	5+1	4	4	2.5-sty Terrace/Link House | Corner lot 	 Built-up : 3,290 sq. ft. 	 Partly furnished
taman bukit permai, Cheras	Cheras, Kuala Lumpur	RM 655,000(RM 451.72 per sq. ft.)	4	3	None	2-sty Terrace/Link House | Intermediate 	 Built-up : 1,450 sq. ft. 	 Unfurnished
Verve Suites, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 600,000(RM 892.86 per sq. ft.)	1	1	1	Serviced Residence 	 Built-up : 672 sq. ft.	Unfurnished
Kuchai Brem Park 2, Taman Gembira, Kuchai Lama	Kuchai Lama, Kuala Lumpur	RM 390,000(RM 385.76 per sq. ft.)	3	2	1	Condominium | End lot 	 Built-up : 1,011 sq. ft. 	 Partly furnished
Twy Duplex Condos, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,250,000(RM 902.53 per sq. ft.)	3	3	2	Condominium | Corner lot 	 Built-up : 1,385 sq. ft. 	 Fully furnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,800,000(RM 935.83 per sq. ft.)	5+1	5	4	Condominium | Corner lot 	 Built-up : 2,992 sq. ft. 	 Partly furnished
The Capers @ Sentul East, Sentul East, Sentul	Sentul, Kuala Lumpur	RM 820,000(RM 593.77 per sq. ft.)	3+1	4	1	Condominium | Corner lot 	 Built-up : 1,381 sq. ft. 	 Partly furnished
Twy Duplex Condos, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 750,000(RM 913.52 per sq. ft.)	2	1	1	Condominium | Duplex 	 Built-up : 821 sq. ft. 	 Partly furnished
The Maple Residences, Taman Overseas Union, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 763,000(RM 796.45 per sq. ft.)	3	2	2	Condominium | End lot 	 Built-up : 958 sq. ft. 	 Partly furnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,100,000(RM 882.72 per sq. ft.)	3+1	4	3	Condominium 	 Built-up : 2,379 sq. ft. 	 Partly furnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,400,000(RM 895.52 per sq. ft.)	4+1	5	3	Condominium 	 Built-up : 2,680 sq. ft. 	 Partly furnished
The Harmony, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 468,000(RM 453.05 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,033 sq. ft.	Unfurnished
Twy Duplex Condos, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 620,000(RM 936.56 per sq. ft.)	1	1	1	Condominium | Duplex 	 Built-up : 662 sq. ft. 	 Fully furnished
Pavilion, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 2,400,000(RM 1719.2 per sq. ft.)	2+1	3	2	Serviced Residence 	 Built-up : 1,396 sq. ft.	Unfurnished
Pavilion, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 1,059,000(RM 1508.55 per sq. ft.)	1	1	1	Serviced Residence 	 Built-up : 702 sq. ft.	Unfurnished
Sierra Seputeh, Taman Seputeh, KL, Seputeh	Seputeh, Kuala Lumpur	RM 3,350,000(RM 859.86 per sq. ft.)	4+1	5	2	Semi-detached House | Intermediate 	 Built-up : 3,896 sq. ft. 	 Partly furnished
Nadia Parkhomes Garden, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,450,000(RM 875 per sq. ft.)	4+1	4	3	3-sty Terrace/Link House | Intermediate 	 Built-up : 2,800 sq. ft. 	 Fully furnished
Pavilion, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 905,000(RM 1495.87 per sq. ft.)	1	1	1	Serviced Residence 	 Built-up : 605 sq. ft.	Unfurnished
Adiva Courtyard Terrace, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,180,000(RM 1143.76 per sq. ft.)	3+1	3	2	3-sty Terrace/Link House | Corner lot 	 Built-up : 1,906 sq. ft.	Unfurnished
Fadason Villa, Laman Rimbunan, Kepong	Kepong, Kuala Lumpur	RM 1,270,000(RM 824.68 per sq. ft.)	5	4	4	2.5-sty Terrace/Link House | Intermediate 	 Built-up : 1,540 sq. ft. 	 Partly furnished
Adora Courtyard Terraces, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,350,000(RM 936.63 per sq. ft.)	4	3	2	3-sty Terrace/Link House | Corner lot 	 Built-up : 2,509 sq. ft. 	 Partly furnished
Taman Sri Segambut, Kepong	Kepong, Kuala Lumpur	RM 680,000(RM 462.59 per sq. ft.)	3	2	None	1-sty Terrace/Link House | Intermediate 	 Built-up : 1,470 sq. ft. 	 Partly furnished
The Harmony, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 480,000(RM 464.67 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,033 sq. ft. 	 Partly furnished
Kepong , Kepong	Kepong, Kuala Lumpur	RM 999,000(RM 333 per sq. ft.)	5	5	4	3-sty Terrace/Link House | Intermediate 	 Built-up : 3,000 sq. ft. 	 Fully furnished
Taman Midah, Cheras	Cheras, Kuala Lumpur	RM 2,700,000(RM 771.43 per sq. ft.)	6	4	4	Bungalow | Intermediate 	 Built-up : 3,500 sq. ft. 	 Partly furnished
The Estate, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 1,870,000(RM 797.1 per sq. ft.)	4+1	4	4	Condominium 	 Built-up : 2,346 sq. ft.	Unfurnished
Happy Garden, OUG	OUG, Kuala Lumpur	RM 1,300,000(RM 541.67 per sq. ft.)	4	3	3	Semi-detached House | Intermediate 	 Built-up : 2,400 sq. ft. 	 Partly furnished
Lake City, Taman Wahyu, Kepong	Kepong, Kuala Lumpur	RM 310,000(RM 546.74 per sq. ft.)	1	1	1	Serviced Residence 	 Built-up : 567 sq. ft. 	 Partly furnished
Pavilion Hilltop, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,500,000(RM 1002.67 per sq. ft.)	3+1	4	2	Condominium | Corner lot 	 Built-up : 1,496 sq. ft. 	 Fully furnished
Arcoris Residences, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 2,600,000(RM 895.01 per sq. ft.)	3+1	4	2	Serviced Residence | Intermediate 	 Built-up : 2,905 sq. ft. 	 Partly furnished
Taman OUG, OUG	OUG, Kuala Lumpur	RM 2,000,000(RM 571.43 per sq. ft.)	4+1	4	3	Semi-detached House | Intermediate 	 Built-up : 3,500 sq. ft. 	 Unfurnished
The Residence, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 10,800,000(RM 1500 per sq. ft.)	6+1	7	6	Bungalow | Intermediate 	 Built-up : 7,200 sq. ft. 	 Fully furnished
Icon Residence, Dutamas	Dutamas, Kuala Lumpur	RM 1,500,000(RM 576.92 per sq. ft.)	3+1	2	4	Condominium 	 Built-up : 2,600 sq. ft.	Unfurnished
Suasana Sentral Condominiums, KL Sentral	KL Sentral, Kuala Lumpur	RM 1,100,000(RM 768.16 per sq. ft.)	3	3	1	Condominium 	 Built-up : 1,432 sq. ft. 	 Fully furnished
Icon Residence, Dutamas	Dutamas, Kuala Lumpur	RM 3,700,000(RM 860.47 per sq. ft.)	4+1	5	6	Condominium 	 Built-up : 4,300 sq. ft.	Unfurnished
Verve Suites, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 900,000(RM 965.67 per sq. ft.)	2	2	1	Serviced Residence | Intermediate 	 Built-up : 932 sq. ft. 	 Fully furnished
Arcoris Soho, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 950,000(RM 1048.57 per sq. ft.)	2	2	1	Serviced Residence | Intermediate 	 Built-up : 906 sq. ft. 	 Partly furnished
Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 900,000(RM 526.32 per sq. ft.)	4	4	2	Condominium | Corner lot 	 Built-up : 1,710 sq. ft.	Unfurnished
6 Capsquare, Dang Wangi, City Centre	City Centre, Kuala Lumpur	RM 2,400,000(RM 642.57 per sq. ft.)	3+1	5	3	Condominium 	 Built-up : 3,735 sq. ft. 	 Partly furnished
6 Capsquare, Dang Wangi, City Centre	City Centre, Kuala Lumpur	RM 1,175,000(RM 642.08 per sq. ft.)	3+1	4	2	Condominium 	 Built-up : 1,830 sq. ft. 	 Partly furnished
OUG Parklane, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 340,000(RM 357.89 per sq. ft.)	3	2	1	Serviced Residence 	 Built-up : 950 sq. ft. 	 Partly furnished
Avara, Seputeh	Seputeh, Kuala Lumpur	RM 690,000(RM 855.02 per sq. ft.)	2	2	1	Condominium | Intermediate 	 Built-up : 807 sq. ft. 	 Partly furnished
Mont Kiara Pelangi, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 600,000(RM 634.92 per sq. ft.)	1	1	1	Condominium 	 Built-up : 945 sq. ft.	Unfurnished
The Park Sky Residence, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 770,000(RM 807.97 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 953 sq. ft. 	 Partly furnished
Rica Residence, Sentul	Sentul, Kuala Lumpur	RM 580,000(RM 585.86 per sq. ft.)	2+1	2	2	Serviced Residence | Corner lot 	 Built-up : 990 sq. ft. 	 Unfurnished
Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	2	2	1	Serviced Residence | Duplex 	 Built-up : 646 sq. ft.	Unfurnished
Pavilion Hilltop, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 3,860,000(RM 1051.48 per sq. ft.)	5+1	6	3	Condominium 	 Built-up : 3,671 sq. ft. 	 Partly furnished
LeVenue, Desa ParkCity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 3,600,000(RM 1000 per sq. ft.)	5	5	3	Bungalow | Intermediate 	 Built-up : 3,600 sq. ft. 	 Fully furnished
The Z Residence, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 560,000(RM 454.55 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,232 sq. ft.	Unfurnished
Banyan Tree Signatures, KLCC	KLCC, Kuala Lumpur	RM 2,900,000(RM 1623.74 per sq. ft.)	3	3	1	Serviced Residence | Intermediate 	 Built-up : 1,786 sq. ft. 	 Partly furnished
The Rainz, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 880,000(RM 581.63 per sq. ft.)	4+1	3	2	Condominium 	 Built-up : 1,513 sq. ft. 	 Partly furnished
Waltz Residences, Taman Overseas Union, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 1,100,000(RM 650.5 per sq. ft.)	3+1	4	2	Condominium | Corner lot 	 Built-up : 1,691 sq. ft. 	 Partly furnished
i-Zen @ Kiara 1, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 700,000(RM 806.45 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 868 sq. ft.	Unfurnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 730,000(RM 833.33 per sq. ft.)	2	2	2	Condominium 	 Built-up : 876 sq. ft. 	 Partly furnished
The Binjai on the Park, KL City Centre, KLCC	KLCC, Kuala Lumpur	RM 3,800,000(RM 1705.57 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 2,228 sq. ft. 	 Partly furnished
Bintang Fairlane Residences, Bukit Bintang	Bukit Bintang, Kuala Lumpur	RM 888,000(RM 785.84 per sq. ft.)	2	2	2	Serviced Residence 	 Built-up : 1,130 sq. ft. 	 Fully furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 950,000(RM 869.17 per sq. ft.)	2	2	2	Condominium | Intermediate 	 Built-up : 1,093 sq. ft.	Unfurnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,300,000(RM 845.8 per sq. ft.)	3	2	2	Condominium | Intermediate 	 Built-up : 1,537 sq. ft.	Unfurnished
The Troika, KLCC	KLCC, Kuala Lumpur	RM 6,000,000(RM 1024.24 per sq. ft.)	4+1	6	3	Condominium | Penthouse 	 Built-up : 5,858 sq. ft. 	 Partly furnished
The Troika, KLCC	KLCC, Kuala Lumpur	RM 6,000,000(RM 1024.24 per sq. ft.)	4+1	6	3	Condominium | Penthouse 	 Built-up : 5,858 sq. ft. 	 Partly furnished
Damansara Heights	Damansara Heights, Kuala Lumpur	RM 9,000,000(RM 1267.61 per sq. ft.)	7	7	None	Bungalow 	 Built-up : 7,100 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,280,000(RM 833.88 per sq. ft.)	3+1	2	3	Condominium 	 Built-up : 1,535 sq. ft.	Unfurnished
Waltz Residences, Taman Overseas Union, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 950,000(RM 760 per sq. ft.)	3+1	4	2	Condominium | Intermediate 	 Built-up : 1,250 sq. ft. 	 Unfurnished
Pavilion Hilltop, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,680,000(RM 918.03 per sq. ft.)	4+1	4	2	Condominium 	 Built-up : 1,830 sq. ft. 	 Fully furnished
Pavilion Hilltop, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 4,100,000(RM 1116.86 per sq. ft.)	5+1	6	3	Condominium | Duplex 	 Built-up : 3,671 sq. ft. 	 Partly furnished
Pavilion Hilltop, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,250,000(RM 1041.67 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,200 sq. ft. 	 Fully furnished
Jalan Kuching Kepong, Kepong	Kepong, Kuala Lumpur	RM 560,000(RM 509.09 per sq. ft.)	4	3	2	2-sty Terrace/Link House | Intermediate 	 Built-up : 1,100 sq. ft. 	 Unfurnished
Parkview Service Apartment, Kuala Lumpur City Center, City Centre	City Centre, Kuala Lumpur	RM 730,000(RM 663.03 per sq. ft.)	1	2	1	Serviced Residence | Intermediate 	 Built-up : 1,101 sq. ft. 	 Fully furnished
The Holmes 2, Bandar Tun Razak, Cheras	Cheras, Kuala Lumpur	RM 430,000(RM 455.99 per sq. ft.)	3	2	2	Condominium | Intermediate 	 Built-up : 943 sq. ft. 	 Unfurnished
Pavilion Suites, Bukit Bintang	Bukit Bintang, Kuala Lumpur	RM 2,650,000(RM 3169.86 per sq. ft.)	1	1	1	Condominium | Corner lot 	 Built-up : 836 sq. ft. 	 Fully furnished
Pavilion Suites, Bukit Bintang	Bukit Bintang, Kuala Lumpur	RM 2,500,000(RM 3346.72 per sq. ft.)	1	1	1	Condominium | Intermediate 	 Built-up : 747 sq. ft. 	 Fully furnished
Safa Terraces, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,295,000(RM 717.19 per sq. ft.)	4+1	4	None	3-sty Terrace/Link House | Intermediate 	 Built-up : 3,200 sq. ft. 	 Partly furnished
Adora, Adora Courtyard Homes, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,400,000(RM 956.56 per sq. ft.)	4+1	4	2	3-sty Terrace/Link House | Corner lot 	 Built-up : 2,509 sq. ft. 	 Partly furnished
Safa Terraces, Safa, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,400,000(RM 800 per sq. ft.)	4+1	4	2	3-sty Terrace/Link House | Intermediate 	 Built-up : 3,000 sq. ft. 	 Partly furnished
Adora Courtyard Apartments, Desa Park City, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,400,000(RM 1287.95 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,087 sq. ft. 	 Partly furnished
Adora, Adora Courtyard Homes, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 2,350,000(RM 936.63 per sq. ft.)	4+1	4	2	3-sty Terrace/Link House | Corner lot 	 Built-up : 2,509 sq. ft. 	 Partly furnished
Southlink, Bangsar South, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 650,000(RM 901.53 per sq. ft.)	3	2	1	Apartment 	 Built-up : 721 sq. ft.	Unfurnished
Park Place, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 950,000(RM 816.85 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,163 sq. ft.	Unfurnished
The Rainz, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 870,000(RM 575.02 per sq. ft.)	4+1	3	2	Condominium | Corner lot 	 Built-up : 1,513 sq. ft. 	 Partly furnished
The Rainz, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 1,100,000(RM 620.77 per sq. ft.)	4+1	4	4	Condominium | Corner lot 	 Built-up : 1,772 sq. ft. 	 Partly furnished
The Rainz, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 870,000(RM 575.02 per sq. ft.)	4	3	2	Condominium | Corner lot 	 Built-up : 1,513 sq. ft. 	 Partly furnished
SPK Damansara, SPK , Sunway SPK	Sunway SPK, Kuala Lumpur	RM 2,500,000(RM 781.25 per sq. ft.)	4+1	4	2	3-sty Terrace/Link House | Corner lot 	 Built-up : 3,200 sq. ft. 	 Partly furnished
The Park Sky Residence, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 1,350,000(RM 862.62 per sq. ft.)	3+1	3	2	Serviced Residence | Corner lot 	 Built-up : 1,565 sq. ft. 	 Partly furnished
Taman Sejahtera, Kepong	Kepong, Kuala Lumpur	RM 499,000(RM 565.12 per sq. ft.)	4	3	2	2-sty Terrace/Link House | Intermediate 	 Built-up : 883 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,280,000(RM 833.88 per sq. ft.)	3	3	3	Condominium 	 Built-up : 1,535 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 970,000(RM 887.47 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,093 sq. ft. 	 Partly furnished
Jalan Setiajasa, lorong setiapuspa (Guarded), KL, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 2,500,000(RM 892.86 per sq. ft.)	4+1	4	4	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,800 sq. ft.	Unfurnished
Mont Kiara Astana, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,060,000(RM 627.22 per sq. ft.)	3+1	2	2	Condominium | Corner lot 	 Built-up : 1,690 sq. ft. 	 Fully furnished
Taman Ehsan, Kepong	Kepong, Kuala Lumpur	RM 580,000(RM 351.52 per sq. ft.)	4	2	2	1-sty Terrace/Link House | Intermediate 	 Built-up : 1,650 sq. ft. 	 Partly furnished
Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	2	2	1	Serviced Residence | Duplex 	 Built-up : 646 sq. ft. 	 Partly furnished
Duta Tropika, Sri Hartamas	Sri Hartamas, Kuala Lumpur	RM 4,300,000(RM 1433.33 per sq. ft.)	5	5	None	Semi-detached House 	 Built-up : 3,000 sq. ft. 	 Partly furnished
Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 12,000,000(RM 1411.76 per sq. ft.)	4+2	6	10	Bungalow 	 Built-up : 8,500 sq. ft.	Unfurnished
Tijani 2 North, Bukit Tunku (Kenny Hills)	Bukit Tunku (Kenny Hills), Kuala Lumpur	RM 4,500,000(RM 714.51 per sq. ft.)	4+1	6	3	Condominium | Penthouse 	 Built-up : 6,298 sq. ft.	Unfurnished
Kampung Cheras Baru, Cheras	Cheras, Kuala Lumpur	RM 670,000(RM 372.22 per sq. ft.)	5	3	None	Bungalow | Intermediate 	 Built-up : 1,800 sq. ft. 	 Unfurnished
TTDI Jalan Datuk Sulaiman, Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 1,800,000(RM 782.61 per sq. ft.)	3+1	3	None	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,300 sq. ft. 	 Partly furnished
TTDI, Taman Tun Dr Ismail	Taman Tun Dr Ismail, Kuala Lumpur	RM 1,690,000(RM 938.89 per sq. ft.)	4	3	None	2-sty Terrace/Link House | Intermediate 	 Built-up : 1,800 sq. ft. 	 Partly furnished
Aria, KLCC	KLCC, Kuala Lumpur	RM 1,948,000(RM 1296.94 per sq. ft.)	3	3	2	Serviced Residence 	 Built-up : 1,502 sq. ft.	Unfurnished
Banyan Tree Signatures, KLCC	KLCC, Kuala Lumpur	RM 3,000,000(RM 1798.56 per sq. ft.)	3+1	5	2	Serviced Residence 	 Built-up : 1,668 sq. ft.	Unfurnished
KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 1,150,000(RM 959.13 per sq. ft.)	2+1	2	1	Serviced Residence | Corner lot 	 Built-up : 1,199 sq. ft. 	 Fully furnished
One Central Park, Desa Parkcity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,050,000(RM 1015.47 per sq. ft.)	2	1	2	Condominium 	 Built-up : 1,034 sq. ft. 	 Partly furnished
