Property Name	Property Location	Price	Bedroom	Bathroom	Car Porch	Property Type	Built Up Area	Status
Hampton Height Damansara, Country Heights Damansara	Country Heights Damansara, Kuala Lumpur	RM 962,000(RM 674.61 per sq. ft.)	3+1	2	3	Serviced Residence 	 Built-up : 1,426 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 780,000(RM 890.41 per sq. ft.)	2	2	2	Condominium 	 Built-up : 876 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 780,000(RM 890.41 per sq. ft.)	2	2	2	Condominium 	 Built-up : 876 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,450,000(RM 943.4 per sq. ft.)	3	2	3	Condominium 	 Built-up : 1,537 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,100,000(RM 857.37 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,283 sq. ft.	Unfurnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,100,000(RM 882.72 per sq. ft.)	3+1	4	3	Condominium | Corner lot 	 Built-up : 2,379 sq. ft. 	 Partly furnished
Ampang	Ampang, Kuala Lumpur	RM 940,800(RM 394.8 per sq. ft.)	4+1	5	3	1-sty Terrace/Link House 	 Built-up : 2,383 sq. ft.	Unfurnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,800,000(RM 935.83 per sq. ft.)	5+1	5	4	Condominium | Corner lot 	 Built-up : 2,992 sq. ft. 	 Partly furnished
Kiara Designer Suites, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 720,000(RM 576.46 per sq. ft.)	3+1	2	1	Serviced Residence | Intermediate 	 Built-up : 1,249 sq. ft. 	 Fully furnished
Sentul Point, Sentul	Sentul, Kuala Lumpur	RM 397,000(RM 396.6 per sq. ft.)	3	2	2	Serviced Residence | Corner lot 	 Built-up : 1,001 sq. ft.	Unfurnished
